,Y
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
